Question|Options|Answer,,,
Q. The ................. serves as a facilitator to all members of the Scrum team and runs the daily Scrum meetings.|a. product owner,b. project manager,c. Scrum master,d. scrum facilitator|c. Scrum master
Q. Agility can be applied to any software process?|a. Yes,b. No  some only,c. Specific where tasks can need not be adaptive and are stringent,d. Only those where the tasks are adapted and streamlined by project team|d. Only those where the tasks are adapted and streamlined by project team
Q. Which phase of UP (unified Process) coincides with deployment activity of generic process?|a. Inception phase,b. Elaboration phase,c. Transition phase,d. Production phase|d. Production phase
Q. What statement is correct about Sprint Meeting and Sprint Retrospective?|a. In Sprint Retrospective meeting the software engineers do not usually attends.,b. In Sprint Review the main topic is about the possible improvements and suggestions for the developer team to the next Sprint.,c. The main purpose of the Sprint Meeting is a demo for the product owner and the stakeholders,d. In Spring Retrospective the product owner and the stakeholders can provide feedback for the next round of Sprint|c. The main purpose of the Sprint Meeting is a demo for the product owner and the stakeholders
Q. Which one is the Primary Goal for the Agile developer?|a. Focus on Software Improvement,b. Customer Demands,c. Continuous Planning,d. Environment Feasibilty|b. Customer Demands
Q. What is NOT true about the majority of software projects?|a. It is difficult to predict in advance which software requirements will persist and which will change.,b. It is easy to predict how customer priorities will change as the project proceeds.,c. It is difficult to predict how much design is necessary before construction is used to prove the design.,d. Analysis design construction and testing are not as predictable (from a planning point of view) as we might like.|b. It is easy to predict how customer priorities will change as the project proceeds.
Q. What effect does Agile methodology generally have on the 'Cost of Change' throughout the development process?|a. It lowers the cost of making changes.,b. It completely removes any costs associated with making changes.,c. It greatly raises the cost of making changes.,d. It has no impact on the cost of making changes. |a. It lowers the cost of making changes.
Q. Who were the primary contributors to the further development of Scrum methods?|a. Jeff Sutherland and his development team.,b. Schwaber and Beedle.,c. Fowler and Sutherland.,d. The agile manifesto.|b. Schwaber and Beedle.
Q. What is the primary reason for adopting an incremental development strategy in agile software processes?|a. To maximize the amount of design work before construction begins.,b. To ensure predictability in the analysis  design construction and testing phases.,c. To address the challenge of managing unpredictability through adaptability.,d. To minimize the need for customer feedback during the development process.|c. To address the challenge of managing unpredictability through adaptability.
Q. Which one below is NOT the stage of the DevOps loop?|a. Continuous development.,b. Continuous testing.,c. Continuous integration.,d. Continuous coding.|d. Continuous coding.
Q. What aspect of Kanban emphasizes introducing changes based on process data and measuring their effects?|a. Managing workflow to reduce waste,b. Making process policies explicit,c. Focusing on continuous improvement,d. Limiting the amount of work in progress|c. Focusing on continuous improvement
Q. Which of the following statements is accurate regarding XP?|a. XP emphasizes only planning and coding.,b. Testing is not a part of XP's framework activities.,c. XP's organization revolves around four specified framework activities planning design coding and testing.,d. Coding is not considered in XP's development process.|c. XP's organization revolves around four specified framework activitiess planning design coding and testing.
Q. What is the purpose of continuous development in devops work flow ?|a. Delivering the final product to the user,b. Breaking down software deliverables and developing them in sprints,c. Ignoring the quality assurance process,d.Testing code increments manually|b. Breaking down software deliverables and developing them in sprints
Q. Why the unit tests that are created should be implemented using a framework that enables them to be automated in the XP framework?|a. This encourages implementing a regression testing strategy,b. It will save time and money in developing,c. It will be easy for engineers to code,d. This is good for product manager to check|a. This encourages implementing a regression testing strategy (Chapter 20) whenever code is modified
"Q. To accomplish incremental adaptation, an agile team requires __________. An effective catalyst for __________ is an operational prototype or a portion of an operational system.  |a. Detailed planning",b. Extensive testing,c. Customer feedback,d. Complete documentation|c. Customer feedback
Q .How does the product owner order items in the product backlog?|a. According to complexity,b. Based on development team's preferences,c. Randomly,d. To meet the most important goals of all stakeholders|d. To meet the most important goals of all stakeholders
"Q. Which Agile methodology framework addresses the concept of ""Pair Programming.""?|a. Scrum",b. Extreme Programming.,c. Kanban,d. DevOps|b. Extreme Programming.
Q. What is the average time of daily scrum meeting ? |a. 50 minutes,b. 40 minutes,c. 35 minutes,d. 15 minutes|d. 15 minutes
Q. What is a key philosophy of agile software engineering?|a. Strict adherence to predefined processes,b. Emphasis on large  centralized teams,c. Adaptability and rapid response to change,d. Avoiding customer interaction until software completion|c. Adaptability and rapid response to change
Q. What key questions could be asked and answered by all of the team members during a daily Scrum meeting?|a. What did you do since the last team meeting?,b. What obstacles are you encountering?,c. What do you plan to accomplish by the next team meeting?,d. All of the above|d. All of the above
Q. Who runs the daily Kanban standup meetings?|a. product owner,b. leadership of this meeting rotates daily,c. Kanban master,d. lead developer|b. leadership of this meeting rotates daily
Q. When in the software development process is it generally the most cost-effective to accommodate changes?|a. During the initial stages of gathering requirements.,b. In the middle of validation testing.,c. After the final product has been delivered.,d. Right before the launch of the software.|a. During the initial stages of gathering requirements.
Q. What is a disadvantage of Scrum related to team size?|a. Only suitable for large teams.,b. Product owner decides the number of team members.,c. May not be suitable for large teams.,d. Expert team members are not required in a team.|c. May not be suitable for large teams.
Q. Which of these is not a principle SCRUM artifact?|a. Code Increment,b. User Story,c. Product Backlog,d. Sprint Backlog|b. User Story
Q. Which of the following is not the framework activities of Extreme Programming (XP):|a. Planning,b. Designing,c. Coding,d. Deployment|d. Deployment
